Key,Description,Standard,en
SAY.Flowchart.3.,,Вы открываете глаза в пустом кабинете.,You found yourself in an empty classroom.
SAY.Flowchart.4.,,За окном глубокая ночь. Слышно потрескивание сверчков.,It's deep dark night outside the window. You can hear crackling sound of crickets.
SAY.Flowchart.2.Я,,Как долго я был без сознания?,How long was I unconscious?
SAY.Flowchart.5.,,Это место навевает воспоминания.,This place brings back memories.
SAY.Flowchart.6.Я,,Я слышу чей-то голос у себя в голове.,I hear someone's voice in my head.
SAY.Flowchart.7.Я,,Это все как-то неправильно.,It's all somehow wrong.
SAY.Flowchart.9.Я,,Что я здесь делаю?,How did I get here?
SAY.Flowchart.8.Я,,Надо идти.,Need to go.
SAY.Flowchart.11.Я,,Мне это не нужно.,I don't need it.
SAY.Flowchart.13.Я,,Кажется она мне что-то напоминает.,It seems to remind me of something.
CHARACTER.Я,,Я,Me
